id,name,size,price,Allergy,Comment,Soya,Dairy,Gluten,Nuts
123,Espresso,M,3.50,Soya,,true,true,false,false
124,Tea,M,0.50,Dairy,,true,false,false,true
125,Cookie,L,4.00,Soya,,false,false,true,true
126,Tea,L,1.50,Soya,,false,false,true,false
127,Muffin,L,3.0,Soya,,false,false,false,false
128,Espresso,M,4.00,Soya,,false,false,false,false
129,Tea,M,0.50,None,,true,false,true,false
130,Coffee,S,3.50,Soya,,false,true,false,true
131,Pastry,L,3.50,Soya,,true,false,true,true
132,Tea,M,1.00,Gluten,,false,true,true,true
133,Tea,M,3.50,Soya,,false,true,true,true
134,Espresso,M,1.00,None,,true,false,false,false
135,Tea,S,1.00,Soya,,true,false,true,true
136,Hot-water,S,1.50,Nuts,,true,true,false,false
137,Espresso,L,1.50,Dairy,,false,true,true,false
138,Espresso,L,2.50,Soya,,false,true,false,false
139,Coffee,M,3.0,Dairy,,true,false,true,true
140,Muffin,M,3.50,Gluten,,true,true,true,false
141,Hot-water,M,2.50,Nuts,,true,false,false,true
142,Cookie,M,4.00,Soya,,true,true,true,false
143,Pastry,S,0.50,None,,true,false,true,false
144,Cookie,L,3.50,Nuts,,false,true,true,true
145,Espresso,M,3.0,Gluten,,true,false,true,true
146,Espresso,M,3.50,Gluten,,false,false,true,true
147,Cookie,L,3.50,Soya,,false,true,true,false
148,Espresso,S,0.50,Nuts,,true,true,true,true
149,Cookie,L,1.00,Dairy,,true,false,true,true
150,Hot-water,M,3.50,Dairy,,true,true,true,true
151,Pastry,L,2.50,Nuts,,true,true,true,true
152,Coffee,S,0.50,Soya,,true,false,true,false
153,Tea,M,3.0,Nuts,,false,true,false,true
154,Pastry,S,2.50,None,,true,false,true,true
155,Espresso,M,3.50,Nuts,,false,true,false,false
156,Cookie,S,1.50,None,,true,true,false,false
157,Coffee,S,3.50,Dairy,,true,true,false,true
158,Muffin,S,3.0,Soya,,false,true,true,true
159,Espresso,S,0.50,Dairy,,false,false,false,true
160,Cookie,S,2.50,Nuts,,false,true,false,true
161,Coffee,S,1.50,Nuts,,false,false,true,false
162,Cookie,S,3.0,Soya,,false,false,true,true
163,Coffee,L,4.00,Soya,,false,false,true,false
164,Espresso,L,2.50,Nuts,,true,true,false,false
165,Coffee,M,0.50,Soya,,false,true,false,false
166,Coffee,M,3.0,Dairy,,false,true,false,false
167,Cookie,L,4.00,Soya,,true,true,true,true
168,Tea,S,1.00,None,,false,false,true,false
169,Espresso,M,3.50,Gluten,,true,false,true,false
170,Pastry,M,3.0,Gluten,,false,false,false,true
171,Cookie,M,2.50,Soya,,true,true,false,true
172,Tea,M,3.0,None,,true,true,false,false
173,Cookie,S,4.00,Gluten,,true,false,true,true
174,Muffin,S,0.50,Soya,,false,true,false,true
175,Tea,L,4.00,Gluten,,false,false,true,true
176,Espresso,M,2.50,Dairy,,false,true,false,true
177,Espresso,L,2.50,Gluten,,false,true,true,false
178,Coffee,M,3.0,Dairy,,true,true,true,true
179,Pastry,S,4.00,Dairy,,false,true,true,true
180,Espresso,S,1.50,None,,true,false,false,false
181,Coffee,L,3.50,Nuts,,false,false,false,false
182,Tea,L,4.00,Nuts,,true,true,true,false
183,Hot-water,S,1.50,Soya,,false,true,true,false
184,Espresso,S,1.50,Nuts,,false,true,false,false
185,Cookie,L,1.00,Soya,,false,false,false,false
186,Espresso,L,3.50,None,,true,false,false,false
187,Espresso,S,4.00,Soya,,true,true,false,false
188,Muffin,M,4.00,Dairy,,true,false,true,false
189,Pastry,L,2.50,Nuts,,false,true,false,true
190,Hot-water,L,1.00,None,,true,false,true,true
191,Muffin,L,2.50,Gluten,,false,false,true,false
192,Cookie,S,3.0,Gluten,,false,true,false,true
193,Cookie,S,0.50,None,,false,true,true,true
194,Coffee,M,3.50,Gluten,,true,false,false,false
195,Muffin,M,3.50,None,,true,false,true,false
196,Coffee,S,4.00,None,,false,true,true,true
197,Cookie,S,1.50,Nuts,,true,true,true,true
198,Pastry,L,1.50,Gluten,,true,true,true,true
199,Tea,S,0.50,Soya,,true,false,false,false
200,Pastry,L,1.00,Nuts,,false,false,false,true
201,Espresso,S,0.50,Soya,,true,false,false,false
202,Pastry,M,1.00,Soya,,false,false,true,false
203,Tea,L,1.50,Nuts,,false,false,false,false
204,Coffee,M,1.00,Soya,,true,true,false,true
205,Cookie,L,0.50,Nuts,,true,false,false,true
206,Espresso,M,1.50,Dairy,,true,true,false,true
207,Pastry,S,0.50,Nuts,,false,false,false,false
208,Pastry,S,1.00,Soya,,false,true,false,false
209,Cookie,M,4.00,None,,true,true,true,true
210,Coffee,L,1.50,Nuts,,false,false,true,false
211,Coffee,M,4.00,Soya,,true,true,true,false
212,Pastry,M,1.50,Dairy,,false,false,false,true
213,Tea,M,1.50,Soya,,true,false,true,true
214,Tea,S,1.50,Soya,,false,false,true,true
215,Tea,M,1.00,Dairy,,true,true,false,true
216,Muffin,S,2.50,None,,false,true,true,true
217,Espresso,M,2.50,Dairy,,true,false,true,true
218,Hot-water,S,1.50,Dairy,,true,false,false,false
219,Cookie,L,1.00,None,,false,true,true,true
220,Cookie,L,4.00,Gluten,,false,true,false,true
221,Hot-water,L,4.00,None,,true,false,false,false
222,Espresso,S,0.50,Soya,,true,true,false,true
223,Cookie,M,4.00,Nuts,,false,false,false,false
224,Espresso,M,3.50,Gluten,,true,false,false,false
225,Coffee,M,3.0,None,,true,true,false,true
226,Espresso,M,3.0,Soya,,true,false,true,true
227,Espresso,M,1.50,Nuts,,true,true,true,true
228,Tea,S,3.0,Dairy,,false,true,false,false
229,Cookie,M,2.50,Dairy,,true,true,true,true
230,Muffin,M,1.50,Gluten,,false,true,false,true
231,Cookie,L,0.50,None,,true,true,false,true
232,Pastry,S,3.0,Dairy,,true,false,true,true
233,Muffin,L,3.50,Gluten,,true,false,true,true
234,Hot-water,S,4.00,Dairy,,true,true,true,true
235,Tea,M,2.50,None,,true,false,false,false
236,Cookie,M,4.00,Gluten,,false,true,true,false
237,Coffee,L,3.50,Gluten,,true,false,true,true
238,Muffin,S,1.50,Gluten,,false,false,true,true
239,Muffin,M,1.00,Dairy,,false,false,false,false
240,Muffin,S,1.00,Soya,,false,true,false,true
241,Coffee,L,0.50,Dairy,,true,false,true,true
242,Pastry,M,1.50,Soya,,true,true,false,false
243,Pastry,M,0.50,None,,true,true,false,false
244,Muffin,S,2.50,Dairy,,true,true,false,true
245,Pastry,M,1.00,Soya,,false,true,true,false
246,Cookie,L,4.00,Nuts,,true,true,false,true
247,Coffee,M,1.00,Dairy,,true,false,true,false
248,Coffee,S,4.00,Gluten,,false,false,true,true
249,Coffee,M,0.50,Dairy,,true,true,false,true
250,Muffin,L,1.50,None,,true,false,true,false
251,Coffee,L,1.00,Soya,,true,false,true,false
252,Hot-water,L,3.50,Nuts,,false,false,true,true
253,Pastry,M,1.00,Soya,,false,false,false,true
254,Espresso,M,1.00,None,,false,false,true,true
255,Muffin,M,1.00,Dairy,,false,false,true,true
256,Muffin,L,1.50,Gluten,,true,false,true,false
257,Espresso,L,0.50,Dairy,,true,true,true,true
258,Pastry,L,3.0,Soya,,true,true,false,false
259,Muffin,S,1.50,Gluten,,true,true,false,false
260,Tea,L,3.50,Gluten,,false,false,false,false
261,Pastry,L,1.50,None,,true,true,false,false
262,Pastry,M,2.50,Dairy,,true,true,true,true
263,Cookie,M,1.50,Nuts,,true,false,true,true
264,Pastry,S,2.50,Soya,,false,false,true,true
265,Pastry,S,3.0,Gluten,,true,false,true,true
266,Espresso,S,2.50,Soya,,false,true,false,true
267,Coffee,S,3.50,Dairy,,true,true,false,true
268,Pastry,S,3.0,Nuts,,true,true,true,true
269,Espresso,S,4.00,Dairy,,true,true,false,false
270,Hot-water,S,4.00,None,,false,true,true,false
271,Tea,S,4.00,Dairy,,false,false,false,true
272,Hot-water,M,4.00,Dairy,,true,true,true,true
273,Pastry,S,0.50,Nuts,,false,false,true,false
274,Tea,S,3.50,None,,true,true,false,true
275,Coffee,L,4.00,Soya,,true,false,false,true
276,Tea,M,2.50,Soya,,true,true,true,false
277,Hot-water,M,3.0,Dairy,,false,false,true,true
278,Pastry,L,0.50,Gluten,,false,false,true,true
279,Coffee,M,3.0,Gluten,,false,true,true,false
280,Espresso,M,1.00,Gluten,,true,true,false,false
281,Cookie,S,2.50,None,,false,true,false,true
282,Coffee,S,4.00,None,,false,true,false,true
283,Coffee,L,1.00,Dairy,,false,false,false,true
284,Tea,L,4.00,Gluten,,false,false,true,true
285,Tea,M,4.00,Soya,,false,true,false,true
286,Pastry,L,2.50,Nuts,,true,true,false,false
287,Espresso,S,3.0,Nuts,,true,true,true,false
288,Cookie,S,1.00,None,,false,false,true,true
289,Espresso,L,1.50,Nuts,,true,true,false,false
290,Coffee,M,3.50,Nuts,,false,true,true,true
291,Hot-water,M,3.50,Soya,,true,false,true,false
292,Tea,M,3.50,Nuts,,false,false,true,true
293,Muffin,S,1.00,Soya,,false,true,false,false
294,Espresso,L,1.50,Nuts,,true,true,true,false
295,Pastry,S,1.50,None,,false,false,false,true
296,Espresso,L,1.00,Gluten,,true,true,false,true
297,Muffin,M,4.00,Soya,,false,true,true,true
298,Muffin,M,0.50,None,,true,false,true,false
299,Cookie,S,1.50,None,,false,false,true,true
300,Tea,L,1.00,Nuts,,false,true,true,true
301,Pastry,S,0.50,Dairy,,true,true,false,true
302,Tea,M,1.00,None,,false,true,true,false
303,Muffin,S,1.00,None,,false,true,true,true
304,Hot-water,L,4.00,Nuts,,true,true,false,true
305,Cookie,L,0.50,Soya,,true,false,false,true
306,Pastry,M,0.50,Gluten,,false,false,true,false
307,Espresso,M,1.50,Soya,,false,true,false,true
308,Muffin,S,2.50,None,,false,true,false,true
309,Cookie,M,1.00,Soya,,false,true,true,true
310,Pastry,L,1.50,None,,false,true,false,true
311,Espresso,L,4.00,Dairy,,false,true,true,false
312,Espresso,L,1.00,None,,false,false,false,false
313,Pastry,M,0.50,None,,false,true,false,false
314,Muffin,L,0.50,Soya,,true,true,false,true
315,Tea,S,0.50,Dairy,,true,false,false,false
316,Espresso,S,1.50,None,,true,false,false,false
317,Espresso,S,4.00,Dairy,,false,false,true,true
318,Coffee,M,0.50,Gluten,,true,true,true,true
319,Pastry,M,3.0,Soya,,false,false,true,false
320,Muffin,M,2.50,Nuts,,true,true,false,true
321,Tea,M,2.50,Dairy,,false,true,false,false
322,Tea,M,3.0,Gluten,,false,true,true,false
323,Pastry,S,4.00,Soya,,false,true,false,false
324,Cookie,S,4.00,Soya,,true,true,false,false
325,Coffee,S,4.00,Dairy,,false,true,false,true
326,Muffin,M,4.00,Dairy,,false,true,true,true
327,Cookie,M,1.50,Nuts,,true,false,false,true
328,Cookie,S,1.50,Gluten,,false,false,true,false
329,Espresso,M,4.00,Gluten,,false,true,true,false
330,Hot-water,M,0.50,None,,false,false,false,false
331,Cookie,L,4.00,Dairy,,false,true,true,false
332,Pastry,M,3.50,Soya,,true,true,true,false
333,Pastry,S,3.0,None,,false,true,false,false
334,Tea,L,2.50,Gluten,,true,false,false,true
335,Espresso,M,2.50,Gluten,,false,false,true,true
336,Espresso,M,1.00,Gluten,,true,false,true,true
337,Muffin,L,1.50,Gluten,,true,true,false,true
338,Cookie,M,4.00,Dairy,,false,false,true,true
339,Cookie,S,0.50,Soya,,true,true,false,true
340,Muffin,M,1.50,None,,false,true,false,false
341,Muffin,M,1.50,Nuts,,false,true,false,true
342,Muffin,S,4.00,Gluten,,true,false,false,true
343,Muffin,S,4.00,Nuts,,true,true,false,false
344,Tea,M,1.00,Gluten,,true,false,false,false
345,Coffee,S,0.50,Dairy,,false,false,true,false
346,Cookie,S,2.50,None,,true,false,false,false
347,Muffin,L,3.50,Dairy,,false,false,false,false
348,Pastry,L,1.00,Nuts,,false,true,true,true
349,Coffee,L,2.50,Dairy,,false,false,false,true
350,Hot-water,L,3.0,None,,false,true,false,false
351,Coffee,S,1.00,Soya,,true,true,true,false
352,Muffin,M,1.00,Dairy,,false,false,false,true
353,Tea,L,3.0,Nuts,,true,true,true,true
354,Cookie,S,3.50,Soya,,false,true,false,true
355,Pastry,M,1.00,Soya,,true,true,true,false
356,Espresso,M,1.00,Nuts,,true,false,false,false
357,Cookie,M,1.00,None,,true,true,true,true
358,Tea,M,1.50,Dairy,,false,true,false,true
359,Muffin,L,3.50,None,,false,false,false,true
360,Pastry,M,2.50,Gluten,,false,true,false,true
361,Muffin,S,2.50,None,,true,true,true,false
362,Muffin,S,1.00,Soya,,true,false,true,true
363,Hot-water,S,1.50,Gluten,,true,true,false,true
364,Pastry,L,0.50,Dairy,,false,false,false,false
365,Cookie,M,3.50,Dairy,,true,false,false,true
366,Hot-water,S,2.50,Soya,,true,false,false,true
367,Pastry,S,3.50,Dairy,,false,false,true,false
368,Muffin,L,3.50,Soya,,true,false,true,true
369,Muffin,S,3.50,None,,false,false,false,false
370,Cookie,L,2.50,Nuts,,true,true,false,false
371,Tea,S,1.50,Soya,,false,true,true,true
372,Hot-water,M,1.00,None,,false,true,false,false
373,Pastry,L,3.0,Dairy,,true,false,false,true
374,Cookie,M,1.00,Dairy,,false,true,true,false
375,Muffin,S,3.0,Gluten,,false,false,true,false
376,Espresso,S,0.50,Dairy,,true,true,false,false
377,Muffin,M,1.50,Nuts,,false,false,false,true
378,Muffin,M,3.0,Gluten,,false,false,false,false
379,Muffin,L,4.00,Soya,,true,true,false,false
380,Cookie,L,3.0,None,,false,true,true,true
381,Cookie,S,1.00,Dairy,,false,false,true,false
382,Pastry,L,1.00,Gluten,,false,false,false,false
383,Hot-water,S,4.00,Dairy,,false,true,false,true
384,Tea,M,1.50,Soya,,true,true,false,true
385,Muffin,M,4.00,None,,true,true,false,true
386,Cookie,S,1.50,Nuts,,false,true,true,false
387,Muffin,M,0.50,Dairy,,false,true,false,true
388,Cookie,M,3.50,Gluten,,false,false,false,true
389,Cookie,M,3.50,Nuts,,false,false,true,false
390,Muffin,S,1.50,Dairy,,true,false,true,false
391,Hot-water,L,1.50,Dairy,,true,true,false,false
392,Espresso,L,3.50,Dairy,,false,false,false,false
393,Coffee,M,1.50,Soya,,true,false,true,false
394,Pastry,L,0.50,Soya,,false,false,true,true
395,Muffin,S,3.50,Nuts,,false,false,false,false
396,Tea,L,1.50,Soya,,true,false,true,true
397,Coffee,S,3.0,Gluten,,true,false,true,false
398,Hot-water,L,4.00,Nuts,,false,true,true,true
399,Espresso,L,1.50,Nuts,,true,true,false,true
400,Tea,M,1.50,Gluten,,true,false,true,true
401,Muffin,L,4.00,Soya,,false,false,true,false
402,Tea,M,3.0,Soya,,false,true,true,false
403,Cookie,M,2.50,Gluten,,false,false,false,false
404,Cookie,M,1.00,Dairy,,true,false,false,false
405,Tea,S,2.50,Nuts,,false,true,false,true
406,Tea,L,0.50,Soya,,true,false,true,false
407,Tea,L,1.00,Gluten,,false,true,true,true
408,Hot-water,L,3.50,Soya,,false,true,false,false
409,Espresso,L,0.50,Dairy,,true,false,false,true
410,Muffin,L,0.50,None,,true,true,false,true
411,Tea,S,2.50,Dairy,,true,false,false,false
412,Tea,L,0.50,None,,false,true,true,true
413,Tea,L,1.50,None,,false,true,false,false
414,Coffee,L,4.00,Gluten,,false,true,false,true
415,Espresso,S,1.50,Gluten,,true,true,false,false
416,Espresso,L,1.50,None,,false,true,true,true
417,Pastry,M,4.00,Nuts,,false,false,false,true
418,Muffin,S,3.50,Nuts,,true,true,false,false
419,Tea,M,3.50,Gluten,,false,true,true,true
420,Muffin,L,1.00,Soya,,true,false,false,false
421,Tea,M,4.00,Soya,,true,false,false,false
422,Pastry,M,3.50,Dairy,,false,false,false,false
423,Pastry,L,1.00,Dairy,,true,false,true,false
424,Muffin,M,1.50,Nuts,,false,false,false,false
425,Cookie,S,4.00,Soya,,true,true,true,true
426,Muffin,S,1.50,Dairy,,false,true,false,false
427,Hot-water,M,1.50,Nuts,,false,true,true,false
428,Pastry,L,1.00,None,,true,true,false,false
429,Espresso,M,3.0,Dairy,,false,true,false,false
430,Hot-water,L,0.50,None,,true,false,true,true
431,Muffin,S,1.50,Nuts,,false,false,false,false
432,Muffin,M,3.50,Gluten,,false,true,true,true
433,Espresso,S,1.50,None,,false,true,false,false
434,Hot-water,M,3.0,None,,false,false,true,true
435,Cookie,M,1.00,Dairy,,false,false,true,false
436,Pastry,S,3.0,Gluten,,false,false,false,false
437,Espresso,L,1.50,Nuts,,false,true,true,false
438,Espresso,S,2.50,Soya,,true,false,true,true
439,Cookie,L,2.50,Gluten,,true,true,true,true
440,Hot-water,L,3.50,Soya,,true,false,true,true
441,Pastry,M,1.50,Dairy,,false,false,false,false
442,Hot-water,S,2.50,Nuts,,false,true,true,false
443,Muffin,M,4.00,Gluten,,false,true,true,true
444,Hot-water,S,2.50,Nuts,,false,true,false,true
445,Tea,M,4.00,Soya,,false,true,true,true
446,Pastry,M,2.50,Dairy,,false,false,true,false
447,Hot-water,M,2.50,None,,false,true,false,false
448,Tea,S,1.50,Gluten,,false,false,false,false
449,Espresso,S,3.0,Soya,,true,false,false,true
450,Pastry,M,3.50,None,,false,true,false,true
451,Muffin,S,1.50,Gluten,,true,true,true,true
452,Cookie,L,1.50,Gluten,,false,false,false,true
453,Pastry,M,3.50,Nuts,,true,false,false,true
454,Pastry,M,1.00,Gluten,,true,false,true,true
455,Espresso,M,3.0,Gluten,,true,false,false,true
456,Hot-water,S,3.0,None,,true,true,true,true
457,Cookie,M,2.50,Gluten,,true,true,true,true
458,Coffee,M,3.0,None,,true,false,true,false
459,Muffin,L,1.00,Nuts,,true,false,false,true
460,Coffee,S,0.50,None,,false,true,true,true
461,Muffin,M,1.00,Dairy,,false,false,false,false
462,Muffin,S,0.50,Dairy,,false,false,false,false
463,Espresso,S,3.50,Soya,,true,true,true,true
464,Coffee,S,4.00,Gluten,,true,true,true,true
465,Tea,S,3.50,Gluten,,false,false,true,true
466,Hot-water,L,1.50,Gluten,,true,false,true,false
467,Cookie,M,1.50,Dairy,,false,true,true,false
468,Espresso,M,3.0,Gluten,,true,false,false,true
469,Pastry,M,0.50,None,,false,false,false,true
470,Tea,M,4.00,None,,false,false,true,false
471,Cookie,M,3.50,Soya,,true,false,false,true
472,Coffee,L,1.50,Nuts,,true,false,true,true
473,Muffin,L,1.00,Dairy,,true,true,false,false
474,Muffin,L,4.00,Soya,,false,true,true,false
475,Cookie,L,2.50,Nuts,,false,false,true,false
476,Muffin,M,4.00,Gluten,,true,false,false,false
477,Tea,L,3.50,Nuts,,false,true,true,true
478,Tea,M,3.0,Dairy,,true,true,true,true
479,Espresso,L,3.0,Nuts,,true,true,true,false
480,Espresso,L,0.50,Dairy,,false,true,true,false
481,Cookie,M,1.50,Soya,,true,true,false,true
482,Pastry,M,1.50,Soya,,false,false,false,true
483,Tea,L,1.00,Gluten,,true,true,true,true
484,Muffin,M,4.00,Soya,,true,false,true,false
485,Muffin,L,2.50,Nuts,,false,false,true,true
486,Hot-water,S,4.00,Nuts,,true,false,true,true
487,Espresso,S,2.50,Gluten,,false,false,false,false
488,Pastry,L,0.50,Gluten,,false,true,false,true
489,Muffin,M,3.0,Dairy,,true,true,true,false
490,Espresso,L,2.50,Dairy,,true,true,true,false
491,Pastry,S,1.50,Nuts,,false,true,false,false
492,Cookie,M,2.50,Dairy,,true,true,true,true
493,Muffin,S,4.00,Dairy,,false,false,false,false
494,Espresso,S,3.50,Soya,,true,false,true,true
495,Espresso,L,1.50,Nuts,,false,false,false,true
496,Cookie,S,2.50,None,,true,true,false,true
497,Coffee,M,2.50,Nuts,,true,true,true,true
498,Coffee,L,3.50,Soya,,true,true,false,false
499,Tea,M,3.50,Nuts,,true,true,false,false
500,Muffin,S,1.50,Dairy,,false,false,true,true
501,Espresso,S,1.00,Dairy,,true,true,false,false
502,Pastry,S,3.50,Soya,,false,false,false,false
503,Cookie,S,3.0,Gluten,,false,false,true,true
504,Espresso,M,4.00,Soya,,true,false,true,true
505,Tea,M,4.00,Soya,,true,false,true,true
506,Hot-water,L,0.50,Gluten,,true,true,true,false
507,Muffin,S,4.00,Dairy,,true,false,true,true
508,Muffin,M,1.00,Dairy,,true,true,true,true
509,Cookie,M,1.00,None,,true,false,false,false
510,Hot-water,L,0.50,Soya,,true,false,false,true
511,Pastry,M,1.00,Soya,,false,false,false,true
512,Cookie,M,1.50,Gluten,,false,false,false,true
513,Tea,L,4.00,None,,false,true,true,false
514,Cookie,S,1.50,Nuts,,true,false,true,false
515,Hot-water,S,4.00,None,,false,true,true,false
516,Coffee,L,1.00,Nuts,,true,true,false,true
517,Hot-water,L,4.00,Gluten,,true,true,true,true
518,Hot-water,L,1.50,Gluten,,true,false,true,true
519,Espresso,L,2.50,Gluten,,true,true,false,false
520,Tea,L,4.00,Nuts,,false,true,true,true
521,Hot-water,L,0.50,Dairy,,false,true,true,true
522,Pastry,L,0.50,Soya,,false,false,false,false
523,Cookie,M,1.50,Dairy,,true,true,true,true
524,Tea,L,1.50,Soya,,false,true,false,false
525,Coffee,M,3.0,Soya,,true,true,false,true
526,Muffin,L,1.50,Soya,,false,false,true,false
527,Coffee,M,2.50,Nuts,,true,true,false,true
528,Tea,M,0.50,Soya,,false,true,false,false
529,Pastry,L,2.50,None,,false,false,true,false
530,Tea,M,2.50,Dairy,,false,true,false,true
531,Coffee,S,3.0,Dairy,,true,true,true,false
